strategy_id,asset,family,gross_sr,net_sr_18bp,trades_yr,cost_drag_pct,T
BTC_mom_21,BTC,momentum,0.9317941476388567,0.813577900542389,23.023636363636367,3.933507626270917,2200
BTC_mom_63,BTC,momentum,1.1235183249143517,1.0831985440806369,8.132727272727273,0.6736739995652274,2200
BTC_mom_126,BTC,momentum,1.1629738992764211,1.1372241359189639,5.154545454545455,0.3811973908231606,2200
BTC_mom_252,BTC,momentum,0.8962034466710843,0.869426150047813,4.925454545454546,1.0632789894949464,2200
BTC_brk_20,BTC,breakout,0.7783093474012233,0.41765355776458835,42.6109090909091,26.775711924571905,2200
BTC_brk_55,BTC,breakout,0.7522301260849401,0.4584276571148743,31.38545454545455,24.482914203256694,2200
BTC_brk_100,BTC,breakout,0.7580571729453784,0.4840284277414679,28.17818181818182,22.875379928812293,2200
ETH_sma_10_100,ETH,sma_cross,1.2439005653600206,1.2318354256294544,1.9472727272727275,0.20462006945613345,2200
ETH_sma_10_150,ETH,sma_cross,1.1292222303393291,1.1211171556183233,1.26,0.1966262439703137,2200
ETH_sma_10_200,ETH,sma_cross,1.145656473064291,1.140525840759574,0.8018181818181819,0.11963559691854125,2200
ETH_sma_10_300,ETH,sma_cross,0.8588686444484368,0.8552225006958377,0.5727272727272728,0.19168035016683183,2200
ETH_sma_20_100,ETH,sma_cross,1.096159649411207,1.0858957092881487,1.7181818181818183,0.25286732250144117,2200
ETH_sma_20_150,ETH,sma_cross,1.077511260867906,1.070826072706689,1.030909090909091,0.182688435115737,2200
ETH_sma_20_200,ETH,sma_cross,1.0158618010055058,1.0091594611049997,1.030909090909091,0.21308944350011935,2200
ETH_sma_20_300,ETH,sma_cross,0.7599705600796571,0.7563177102382374,0.5727272727272728,0.2546092889861578,2200
ETH_sma_50_100,ETH,sma_cross,0.8377669957301369,0.8298426322025878,1.26,0.39252915989080117,2200
ETH_sma_50_150,ETH,sma_cross,0.8544882416490924,0.8480793410381106,1.030909090909091,0.32469822959862765,2200
