asset,timeframe,model,strategy_id,net_sr_18bp,auc,pbo,unbal_long_pct,bal_long_pct,events,config
BTC,1d,CatBoost_MC,MC_null_iter85,-0.3508,0.5595,1.0,,0.6048,832,
BTC,1d,CatBoost_MC,MC_null_iter86,1.363,0.5385,1.0,,0.6114,874,
BTC,1d,CatBoost_MC,MC_null_iter87,0.6169,0.5333,1.0,,0.4491,833,
BTC,1d,CatBoost_MC,MC_null_iter88,-1.8016,0.5941,1.0,,0.7457,861,
BTC,1d,CatBoost_MC,MC_null_iter89,1.677,0.4195,1.0,,0.6755,936,
BTC,1d,CatBoost_MC,MC_null_iter90,0.4684,0.5981,1.0,,0.6185,864,
BTC,1d,CatBoost_MC,MC_null_iter91,1.1412,0.5191,1.0,,0.7294,850,
BTC,1d,CatBoost_MC,MC_null_iter92,0.4106,0.4377,1.0,,0.6471,849,
BTC,1d,CatBoost_MC,MC_null_iter93,0.1874,0.4746,1.0,,0.5749,834,
BTC,1d,CatBoost_MC,MC_null_iter94,0.1772,0.505,1.0,,0.5145,865,
BTC,1d,CatBoost_MC,MC_null_iter95,-0.721,0.4736,1.0,,0.6395,859,
BTC,1d,CatBoost_MC,MC_null_iter96,1.1459,0.5705,1.0,,0.5783,828,
BTC,1d,CatBoost_MC,MC_null_iter97,1.8821,0.4853,1.0,,0.6686,859,
BTC,1d,CatBoost_MC,MC_null_iter98,-0.3562,0.5574,1.0,,0.6121,823,
BTC,1d,CatBoost_MC,MC_null_iter99,-0.562,0.5407,1.0,,0.6778,896,
BTC,1d,CatBoost_MC,MC_null_iter100,-1.3708,0.5061,1.0,,0.5697,825,
BTC,1d,CatBoost_MC,MC_null_iter101,0.521,0.608,1.0,,0.5866,895,
BTC,1d,CatBoost_MC,MC_null_iter102,0.523,0.3928,1.0,,0.7333,898,
BTC,1d,CatBoost_MC,MC_null_iter103,1.1609,0.5765,1.0,,0.5455,880,
BTC,1d,CatBoost_MC,MC_null_iter104,-1.2253,0.5258,1.0,,0.5778,896,
BTC,1d,CatBoost_MC,MC_null_iter105,-1.1934,0.3604,1.0,,0.5787,889,
BTC,1d,CatBoost_MC,MC_null_iter106,0.4112,0.4249,1.0,,0.5207,843,
BTC,1d,CatBoost_MC,MC_null_iter107,1.4867,0.4774,1.0,,0.5434,865,
BTC,1d,CatBoost_MC,MC_null_iter108,-2.9537,0.5013,1.0,,0.5568,876,
BTC,1d,CatBoost_MC,MC_null_iter109,-0.1329,0.4677,1.0,,0.6522,918,
BTC,1d,CatBoost_MC,MC_null_iter110,-3.0311,0.4751,1.0,,0.517,879,
BTC,1d,CatBoost_MC,MC_null_iter111,-0.6382,0.5706,1.0,,0.4462,929,
BTC,1d,CatBoost_MC,MC_null_iter112,0.226,0.585,1.0,,0.6154,907,
BTC,1d,CatBoost_MC,MC_null_iter113,1.0353,0.4351,1.0,,0.7429,872,
BTC,1d,CatBoost_MC,MC_null_iter114,-0.2413,0.5004,1.0,,0.6591,878,
BTC,1d,CatBoost_MC,MC_null_iter115,0.1462,0.5173,1.0,,0.4576,884,
BTC,1d,CatBoost_MC,MC_null_iter116,-1.7313,0.5566,1.0,,0.523,867,
BTC,1d,CatBoost_MC,MC_null_iter117,0.7511,0.5526,1.0,,0.5833,900,
BTC,1d,CatBoost_MC,MC_null_iter118,-0.0879,0.412,1.0,,0.6573,886,
BTC,1d,CatBoost_MC,MC_null_iter119,-0.6986,0.4866,1.0,,0.7283,863,
BTC,1d,CatBoost_MC,MC_null_iter120,-0.9595,0.503,1.0,,0.6536,891,
BTC,1d,CatBoost_MC,MC_null_iter121,3.2417,0.5027,1.0,,0.4573,820,
BTC,1d,CatBoost_MC,MC_null_iter122,-0.264,0.4646,1.0,,0.5614,853,
BTC,1d,CatBoost_MC,MC_null_iter123,0.0024,0.4903,1.0,,0.6949,885,
BTC,1d,CatBoost_MC,MC_null_iter124,-1.5833,0.5697,1.0,,0.6747,826,
BTC,1d,CatBoost_MC,MC_null_iter125,-0.5565,0.4439,1.0,,0.6221,860,
BTC,1d,CatBoost_MC,MC_null_iter126,0.3382,0.4955,1.0,,0.6301,862,
BTC,1d,CatBoost_MC,MC_null_iter127,-0.0406,0.4465,1.0,,0.6404,887,
BTC,1d,CatBoost_MC,MC_null_iter128,0.5633,0.5419,1.0,,0.5529,846,
BTC,1d,CatBoost_MC,MC_null_iter129,0.6079,0.5165,1.0,,0.5311,882,
BTC,1d,CatBoost_MC,MC_null_iter130,-1.607,0.5286,1.0,,0.7697,889,
BTC,1d,CatBoost_MC,MC_null_iter131,0.6496,0.6695,1.0,,0.7803,861,
BTC,1d,CatBoost_MC,MC_null_iter132,0.8136,0.4258,1.0,,0.5111,898,
BTC,1d,CatBoost_MC,MC_null_iter133,-0.5436,0.4765,1.0,,0.8941,847,
BTC,1d,CatBoost_MC,MC_null_iter134,-0.2878,0.413,1.0,,0.5585,939,
BTC,1d,CatBoost_MC,MC_null_iter135,0.3669,0.3668,1.0,,0.5955,886,
BTC,1d,CatBoost_MC,MC_null_iter136,-1.5565,0.4846,1.0,,0.6124,887,
BTC,1d,CatBoost_MC,MC_null_iter137,0.3878,0.5258,1.0,,0.6036,845,
BTC,1d,CatBoost_MC,MC_null_iter138,-0.7708,0.4552,1.0,,0.4944,889,
BTC,1d,CatBoost_MC,MC_null_iter139,0.3006,0.4403,1.0,,0.4709,858,
BTC,1d,CatBoost_MC,MC_null_iter140,-1.119,0.6019,1.0,,0.5402,870,
BTC,1d,CatBoost_MC,MC_null_iter141,-1.106,0.534,1.0,,0.645,844,
BTC,1d,CatBoost_MC,MC_null_iter142,-0.3901,0.5016,1.0,,0.5621,845,
BTC,1d,CatBoost_MC,MC_null_iter143,0.91,0.6151,1.0,,0.56,873,
BTC,1d,CatBoost_MC,MC_null_iter144,-0.189,0.4339,1.0,,0.5917,843,
BTC,1d,CatBoost_MC,MC_null_iter145,-0.0947,0.5926,1.0,,0.7126,866,
BTC,1d,CatBoost_MC,MC_null_iter146,0.5798,0.4374,1.0,,0.5254,881,
BTC,1d,CatBoost_MC,MC_null_iter147,-0.4401,0.4763,1.0,,0.4731,926,
BTC,1d,CatBoost_MC,MC_null_iter148,1.0242,0.4643,1.0,,0.4529,850,
BTC,1d,CatBoost_MC,MC_null_iter149,2.2626,0.6958,1.0,,0.6519,904,
BTC,1d,CatBoost_MC,MC_null_iter150,1.6361,0.6124,1.0,,0.5536,837,
BTC,1d,CatBoost_MC,MC_null_iter151,-1.4216,0.547,1.0,,0.5955,886,
BTC,1d,CatBoost_MC,MC_null_iter152,1.8191,0.4295,1.0,,0.5661,942,
BTC,1d,CatBoost_MC,MC_null_iter153,-1.7068,0.499,1.0,,0.5439,852,
BTC,1d,CatBoost_MC,MC_null_iter154,-2.9832,0.4593,1.0,,0.4438,889,
BTC,1d,CatBoost_MC,MC_null_iter155,-0.2434,0.4286,1.0,,0.6923,906,
BTC,1d,CatBoost_MC,MC_null_iter156,-0.8227,0.4517,1.0,,0.6095,845,
BTC,1d,CatBoost_MC,MC_null_iter157,1.8402,0.5751,1.0,,0.5523,858,
