asset,timeframe,model,strategy_id,net_sr_18bp,auc,pbo,unbal_long_pct,bal_long_pct,events,config
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.1_d-0.15,0.2618,,,0.1791,,72,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.1_d-0.15,0.2618,,,0.1791,,72,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.1_d-0.15,0.2576,,,0.1781,,72,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.2_d-0.25,0.2522,,,0.2569,,91,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.2_d-0.15,0.2455,,,0.2501,,99,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.1_d-0.1,0.2181,,,0.1645,,87,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.1_d-0.1,0.2181,,,0.1645,,87,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.1_d-0.1,0.2136,,,0.1634,,87,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.05_d-0.15,0.2125,,,0.1426,,74,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.05_d-0.15,0.2125,,,0.1426,,74,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.2_d-0.1,0.2108,,,0.2313,,114,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.05_d-0.15,0.2079,,,0.1415,,74,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.1_d-0.25,0.1677,,,0.1849,,70,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.1_d-0.25,0.1677,,,0.1849,,70,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.1_d-0.25,0.1637,,,0.1838,,70,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.05_d-0.25,0.1316,,,0.1384,,80,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.05_d-0.1,0.1232,,,0.1243,,83,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.05_d-0.1,0.0913,,,0.13,,82,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.05_d-0.1,0.0913,,,0.13,,82,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.05_d-0.1,0.0862,,,0.129,,82,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.05_d-0.25,0.0829,,,0.1473,,72,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.05_d-0.25,0.0829,,,0.1473,,72,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.05_d-0.25,0.0785,,,0.1462,,72,
BTC,1h,CatBoost,OF_trade_imbalance_CatBoost,-1.3913,0.5059,1.0,0.9663,0.4354,15271,
BTC,1h,LightGBM,OF_trade_imbalance_LightGBM,-1.8595,0.491,1.0,0.8966,0.4769,15271,
BTC,1h,RF,OF_trade_imbalance_RF,-1.4798,0.5031,1.0,0.9869,0.4609,15271,
BTC,1h,CatBoost,OF_buy_sell_ratio_CatBoost,-1.5202,0.5106,1.0,0.9676,0.4193,15271,
BTC,1h,LightGBM,OF_buy_sell_ratio_LightGBM,-1.6726,0.4908,1.0,0.8854,0.4897,15271,
BTC,1h,RF,OF_buy_sell_ratio_RF,-1.5804,0.5003,1.0,0.9853,0.4648,15271,
BTC,1h,CatBoost,OF_net_flow_zscore_24_CatBoost,-1.3395,0.5069,1.0,0.9692,0.4386,15271,
BTC,1h,LightGBM,OF_net_flow_zscore_24_LightGBM,-1.4884,0.494,1.0,0.8812,0.4753,15271,
BTC,1h,RF,OF_net_flow_zscore_24_RF,-1.5691,0.51,1.0,0.9866,0.4756,15271,
BTC,1h,CatBoost,OF_net_flow_zscore_168_CatBoost,-1.1545,0.4993,1.0,0.9725,0.4111,15271,
BTC,1h,LightGBM,OF_net_flow_zscore_168_LightGBM,-1.3551,0.4954,1.0,0.8776,0.4979,15271,
BTC,1h,RF,OF_net_flow_zscore_168_RF,-1.1801,0.5124,1.0,0.9885,0.4861,15271,
BTC,1h,CatBoost,OF_cum_imbalance_24h_CatBoost,-1.6082,0.5071,1.0,0.9718,0.4596,15271,
BTC,1h,LightGBM,OF_cum_imbalance_24h_LightGBM,-1.3316,0.4891,1.0,0.8707,0.508,15271,
BTC,1h,RF,OF_cum_imbalance_24h_RF,-1.3079,0.5092,1.0,0.9856,0.4802,15271,
BTC,1h,CatBoost,OF_cum_imbalance_72h_CatBoost,-1.549,0.5008,1.0,0.9741,0.4124,15271,
BTC,1h,LightGBM,OF_cum_imbalance_72h_LightGBM,-1.4965,0.4844,1.0,0.8854,0.4871,15271,
BTC,1h,RF,OF_cum_imbalance_72h_RF,-1.7604,0.5057,1.0,0.9925,0.4481,15271,
BTC,1h,CatBoost,OF_impact_zscore_CatBoost,-1.3742,0.5075,1.0,0.9686,0.4314,15271,
BTC,1h,LightGBM,OF_impact_zscore_LightGBM,-1.7328,0.4852,1.0,0.8867,0.4681,15271,
BTC,1h,RF,OF_impact_zscore_RF,-1.4591,0.5067,1.0,0.9876,0.4439,15271,
BTC,1h,CatBoost,OF_amihud_zscore_CatBoost,-1.6469,0.4976,1.0,0.9702,0.4262,15271,
BTC,1h,LightGBM,OF_amihud_zscore_LightGBM,-1.4877,0.4957,1.0,0.8773,0.4789,15271,
BTC,1h,RF,OF_amihud_zscore_RF,-1.5604,0.5064,1.0,0.9869,0.4563,15271,
BTC,1h,CatBoost,OF_roll_spread_CatBoost,-1.4567,0.5108,1.0,0.9699,0.4046,15271,
BTC,1h,LightGBM,OF_roll_spread_LightGBM,-1.388,0.5017,1.0,0.8556,0.4841,15271,
BTC,1h,RF,OF_roll_spread_RF,-1.2396,0.5104,1.0,0.9889,0.4517,15271,
BTC,1h,CatBoost,OF_signed_run_CatBoost,-1.4304,0.5089,1.0,0.9722,0.4373,15271,
BTC,1h,LightGBM,OF_signed_run_LightGBM,-1.7983,0.4979,1.0,0.8845,0.493,15271,
BTC,1h,RF,OF_signed_run_RF,-1.6485,0.5055,1.0,0.9849,0.4864,15271,
BTC,1h,CatBoost,OF_vol_price_divergence_CatBoost,-1.606,0.5078,1.0,0.9722,0.4098,15271,
BTC,1h,LightGBM,OF_vol_price_divergence_LightGBM,-1.7553,0.5031,1.0,0.8753,0.4786,15271,
BTC,1h,RF,OF_vol_price_divergence_RF,-1.4921,0.5038,1.0,0.9892,0.4599,15271,
BTC,1d,DM+VolOverlay,VOL_binary_thr0.5_w7,0.4049,,,0.2816,0.2816,168,
BTC,1d,DM+VolOverlay,VOL_binary_thr0.55_w7,0.5539,,,0.3133,0.3133,160,
BTC,1d,DM+VolOverlay,VOL_binary_thr0.6_w7,0.4494,,,0.3432,0.3432,140,
BTC,1d,DM+VolOverlay,VOL_binary_thr0.65_w7,0.6328,,,0.3669,0.3669,156,
BTC,1d,DM+VolOverlay,VOL_gradual_thr0.5_w7,-0.8309,,,0.2816,0.2816,755,
BTC,1d,DM+VolOverlay,VOL_gradual_thr0.55_w7,-0.841,,,0.3133,0.3133,816,
BTC,1d,DM+VolOverlay,VOL_binary_thr0.5_w30,0.6968,,,0.3011,0.3011,74,
BTC,1d,DM+VolOverlay,VOL_binary_thr0.55_w30,0.6707,,,0.3307,0.3307,64,
MULTI,1d,Momentum,XS_mom7d_top3,-0.3094,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom7d_top5,-0.3688,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom7d_top10,-0.8397,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom14d_top3,0.049,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom14d_top5,-0.0073,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom14d_top10,-0.7397,,,1.0,1.0,845,
